,Node,Fairness,Goodness
0,6,0.895725519589204,0.13017598697577548
1,2,0.8937438727755906,0.26953118901348677
2,5,0.9401114372757616,0.214168037653604
3,1,0.9224364178283305,0.32393301972054966
4,15,0.9604893190993837,0.14446543772976078
5,4,0.8912871984696537,0.28660008488434285
6,3,1.0,-0.035795527962606544
7,13,0.9455630055117719,0.16737286339010946
8,16,1.0,0.7564504044145364
9,10,0.713045549965856,0.5520617033189419
10,7,0.9438444190253923,0.2655743436006559
11,21,0.8807172099458485,0.22476509737040157
12,20,1.0,0.18241041786289156
13,8,0.9880334901397252,0.5032185121473827
14,17,0.9186382873341592,0.22973075205208937
15,23,0.9347964708903963,0.29470440742508036
16,25,1.0,0.24353063317966597
17,26,0.9337386393011995,0.14495221752653242
18,28,0.9608730647843379,0.15599350919717755
19,29,0.972792447360182,0.18175013992857897
20,31,0.9723667238487769,0.13680800170806548
21,32,0.9258319700862093,0.09194490862913007
22,34,0.9238532955481142,0.09372812807958264
23,35,0.9830143667602695,0.17316479272714067
24,36,0.9679313502408943,0.17413447909784163
25,37,0.9445277419086083,0.12694493239669508
26,44,0.9450026744060911,-0.24230228856071556
27,39,0.8923911541714011,0.2930443699789403
28,45,0.9228034119197932,0.25410741990044705
29,19,0.9184778713104245,0.2414517221024462
30,46,0.9629327604510792,0.09679313502349965
31,47,0.9276231591696986,0.18555768362796718
32,51,0.9470228936705524,0.17699276723194848
33,52,0.9591249300357105,0.09727924473595528
34,53,0.9528667309250523,0.28104922499670437
35,54,0.9215564303461556,0.2006947750730777
36,41,0.9621529896141624,0.1558069133038071
37,55,0.9172128281996721,0.09438444190242908
38,57,0.9249984397564893,0.2171934974815958
39,61,0.8291204973106187,-0.03811251590156143
40,65,0.9865823963635704,0.09830143667603829
41,56,0.9674292223834459,0.17346781610133014
42,66,0.9566999575578286,0.17825743969425478
43,69,0.9536124159225573,0.15601303552947363
44,70,0.9677876825238978,0.17282004602127235
45,71,0.7619665098602748,0.09224364178450178
46,72,0.9604823897559759,0.18649480503807264
47,74,0.8880334901397252,0.09224364178450178
48,75,0.951680521356355,-0.03934118527317611
49,68,0.964701014800994,0.1509284501642983
50,64,0.9283548662650446,0.16244964228623499
51,76,0.923713428055386,0.15585674046162534
52,77,0.9498871271030758,0.1764451847034603
53,78,0.9381323618640472,0.15962769837976015
54,60,0.9391254463585821,0.28907310502837663
55,79,0.9634176036364297,0.09830143667603829
56,80,0.9328726749081332,0.16643094626561206
57,81,0.9562351511001695,0.20767782604716478
58,62,0.962607940188893,-0.0646028419258797
59,83,0.9720965433480965,0.09621529896235187
60,104,0.9376039307069287,0.2189826503517912
61,86,0.9720965433480965,0.09621529896235187
62,87,0.9060817025218202,0.09152063224159307
63,89,0.9696546857738843,0.14249209138360502
64,94,0.9687751788568825,0.09283548662729763
65,95,0.9667709437073478,0.17481143719794404
66,96,0.8865948651382325,0.11516630395691875
67,97,0.9795085595553266,0.14522593307881249
68,99,0.9719934822352632,0.38144496636854697
69,88,0.9213562307595374,0.2539545153083735
70,101,0.9007714858323101,0.2407071655855962
71,100,0.9195592478360727,0.11566762766190875
72,103,1.0,0.09007714858251446
73,105,0.9720965433480965,0.3176148143148364
74,106,0.9924168480215406,0.08865948651557636
75,107,0.9557110325010209,0.18428300162505057
76,108,0.916458186699262,0.09463310378173279
77,109,0.9413163887251367,0.21528047466897735
78,110,0.9434924795735613,0.13178793165352148
79,111,0.8531614393991769,0.2917860811604251
80,112,0.9594756855678491,0.14148885348717594
81,115,0.8945250801577422,0.1611597794111082
82,114,0.9542529351715707,0.11376005636621149
83,119,0.7541136248163034,0.36954608912808623
84,122,0.943699489504896,0.09438444190242908
85,127,0.8275632038745797,0.3442793623569365
86,129,0.957539281334286,0.21898271158422425
87,116,0.967212828199672,0.18876888380485815
88,131,1.0,0.09498871271033797
